Team,Round,Goals_Conceded
Liverpool,Matchweek 29,2
Liverpool,Matchweek 31,3
Liverpool,Matchweek 32,1
Liverpool,Matchweek 34,1
Liverpool,Matchweek 35,3
Liverpool,Matchweek 36,2
Liverpool,Matchweek 37,3
Liverpool,Matchweek 38,1
Liverpool,Matchweek 4,1
Liverpool,Matchweek 6,1
Liverpool,Matchweek 8,1
Liverpool,Matchweek 9,2
Manchester City,Matchweek 10,2
Manchester City,Matchweek 11,2
Manchester City,Matchweek 12,4
Manchester City,Matchweek 13,2
Manchester City,Matchweek 15,2
Manchester City,Matchweek 16,2
Manchester City,Matchweek 17,2
Manchester City,Matchweek 18,1
Manchester City,Matchweek 2,1
Manchester City,Matchweek 20,1
Manchester City,Matchweek 21,2
Manchester City,Matchweek 23,1
Manchester City,Matchweek 24,5
Manchester City,Matchweek 26,2
Manchester City,Matchweek 28,1
Manchester City,Matchweek 29,2
Manchester City,Matchweek 3,1
Manchester City,Matchweek 32,2
Manchester City,Matchweek 34,1
Manchester City,Matchweek 37,1
Manchester City,Matchweek 4,1
Manchester City,Matchweek 5,2
Manchester City,Matchweek 6,1
Manchester City,Matchweek 7,2
Manchester City,Matchweek 8,1
Manchester Utd,Matchweek 10,1
Manchester Utd,Matchweek 12,1
Manchester Utd,Matchweek 14,2
Manchester Utd,Matchweek 15,3
Manchester Utd,Matchweek 16,1
Manchester Utd,Matchweek 17,3
Manchester Utd,Matchweek 18,2
Manchester Utd,Matchweek 19,2
Manchester Utd,Matchweek 2,2
Manchester Utd,Matchweek 20,2
Manchester Utd,Matchweek 21,1
Manchester Utd,Matchweek 22,3
Manchester Utd,Matchweek 24,2
Manchester Utd,Matchweek 25,1
Manchester Utd,Matchweek 26,2
Manchester Utd,Matchweek 27,2
Manchester Utd,Matchweek 28,1
Manchester Utd,Matchweek 3,3
Manchester Utd,Matchweek 30,1
Manchester Utd,Matchweek 32,4
Manchester Utd,Matchweek 33,1
Manchester Utd,Matchweek 34,1
Manchester Utd,Matchweek 35,4
Manchester Utd,Matchweek 36,2
Manchester Utd,Matchweek 37,1
Manchester Utd,Matchweek 6,3
Manchester Utd,Matchweek 8,1
Manchester Utd,Matchweek 9,2
Newcastle Utd,Matchweek 11,1
Newcastle Utd,Matchweek 12,2
Newcastle Utd,Matchweek 13,1
Newcastle Utd,Matchweek 14,3
Newcastle Utd,Matchweek 15,4
Newcastle Utd,Matchweek 2,1
Newcastle Utd,Matchweek 20,1
Newcastle Utd,Matchweek 22,4
Newcastle Utd,Matchweek 23,1
Newcastle Utd,Matchweek 24,2
Newcastle Utd,Matchweek 25,4
Newcastle Utd,Matchweek 26,3
