food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_grams,Fat_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Sodium_per_100g,Water_per_100g,Calories_100g_494
kung pao chicken,779,42.2,8.2,13.1,18.2,41.5,18.3,59.0,9.1,157.0,2.4,451.7,0.0,0.2,0.0,0.034,0.3,16.7,3.0,1.5,42.9,0.0,6.2,0.012,120.8,0.4,4.6,145.0,1.5,567.8,1316.7,0.097,4.5,320.1,624.2,6.760653636654919,6.648510092918936,2.931752643383531,9.452098686318488,1.4578660685677667,0.3844921499519384,72.36462672220442,125.24831784684397
beef empanada,298,16.3,4.6,6.3,3.8,27.8,1.6,10.1,1.8,23.1,0.4,33.4,0.0,0.2,0.0,0.094,0.2,4.2,0.4,0.1,0.0,0.0,0.6,0.072,17.8,0.051,2.4,18.7,0.2,91.7,169.1,0.037,1.7,76.2,91.4,17.833698030634572,30.41575492341357,1.75054704595186,11.050328227571114,1.9693654266958422,0.437636761487965,36.542669584245075,326.36761487964986
frijoles with cheese,225,7.8,4.1,2.6,0.7,28.7,0.0,11.4,0.0,36.7,0.9,115.4,0.008,0.1,0.1,0.085,0.3,1.5,1.1,0.2,1.5,0.0,0.0,0.0,188.7,0.3,2.2,85.2,0.5,175.4,604.5,0.013,1.7,240.305,164.2,4.750304506699147,17.478684531059685,0.0,6.942752740560293,0.0,0.5481120584652862,70.28014616321559,140.43848964677224
burrito with beef,285,8.1,1.7,1.7,4.0,43.9,4.1,9.1,4.4,2.6,0.5,65.8,0.036,0.036,0.4,0.2,0.023,0.2,3.2,1.8,0.1,0.4,0.0,0.5,0.042,67.1,0.2,3.2,40.0,0.5,150.9,270.9,0.002,65.89,135.9,5.960264900662251,32.30316409124356,3.016924208977189,6.6961000735835166,3.237674760853569,0.36791758646063283,48.41795437821928,209.63944076526857
crispy chicken sandwich,350,17.6,3.3,4.0,8.4,33.2,3.9,14.8,0.0,0.0,0.7,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,0.09,1.9,25.2,0.3,229.3,233.1,0.0,0.7,114.1,128.1,13.739266198282593,25.917252146760344,3.0444964871194378,11.553473848555818,0.0,0.546448087431694,45.19906323185012,273.53629976580794
enchilada with cheese,374,25.3,11.5,6.4,3.8,21.2,3.6,15.4,2.6,57.5,0.7,71.8,0.7,0.3,0.081,0.073,0.036,0.3,0.9,1.3,0.2,0.8,0.0,1.8,0.0,430.2,0.2,0.9,39.7,0.2,367.2,191.8,0.03,65.6,140.6,17.99431009957326,15.078236130867708,2.56045519203414,10.953058321479375,1.849217638691323,0.4978662873399715,51.06685633001422,266.07396870554766
pork egg roll,189,6.1,1.3,2.0,2.1,25.1,4.5,8.4,1.8,11.9,0.3,43.6,0.0,0.2,0.019,0.071,0.023,1.9,0.4,0.1,24.9,0.085,0.2,0.064,28.9,0.024,1.3,17.0,0.3,77.4,180.2,0.071,0.8,96.5,89.8,6.7928730512249444,27.951002227171497,5.011135857461025,9.35412026726058,2.0044543429844097,0.33407572383073497,48.55233853006682,210.35634743875283
corn on the cob with butter,155,3.4,1.6,1.0,0.6,31.9,0.0,4.5,0.0,5.8,0.056,105.2,0.004,0.2,0.045,0.0,0.1,2.2,0.4,0.3,6.9,0.0,0.0,0.0,4.4,0.0,0.9,40.9,0.0,108.0,359.2,0.034,0.9,52.078,145.05599999999998,2.3439223472314143,21.991506728435915,0.0,3.1022501654533423,0.0,0.03860577983675271,72.52371497904258,121.47032870063975
pancakes with butter syrup,260,7.0,2.9,2.6,1.0,45.4,0.0,4.1,0.0,29.0,0.6,57.7,0.015,0.2,0.082,0.046,0.3,1.7,0.3,0.051,1.7,0.0,0.7,0.0,63.8,0.073,1.3,24.4,0.2,237.8,125.3,0.075,0.5,123.319,114.80000000000001,6.097560975609755,39.54703832752613,0.0,3.5714285714285707,0.0,0.5226480836236933,50.26132404181184,227.3519163763066
burrito with beans,224,6.7,3.4,2.4,0.6,35.7,0.0,7.0,0.0,2.2,0.5,57.0,0.0,0.3,0.067,0.093,0.3,2.0,1.0,0.2,1.0,0.0,0.0,0.0,56.4,0.2,2.3,43.4,0.4,48.8,326.6,0.024,0.8,109.1,106.9,6.26753975678204,33.39569691300281,0.0,6.548175865294667,0.0,0.4677268475210477,53.32086061739943,216.18334892422826
scrambled eggs,100,7.6,2.9,2.8,0.9,1.0,0.8,6.5,0.0,200.2,0.1,31.3,0.066,0.066,0.045,0.041,0.2,0.095,0.4,0.076,1.6,0.086,0.5,0.001,26.8,0.093,1.2,6.6,0.066,113.7,69.1,0.012,0.8,44.726,47.3,16.067653276955603,2.1141649048625792,1.6913319238900635,13.742071881606766,0.0,0.21141649048625794,66.17336152219873,208.03382663847782
baked potato with sour cream,393,22.3,10.0,7.9,3.3,50.0,0.0,6.7,0.0,24.2,0.2,209.7,0.2,0.3,0.086,0.009,0.2,3.7,1.5,0.8,33.8,0.0,0.0,0.0,105.7,0.7,3.1,69.5,0.6,184.2,1383.2,0.088,0.9,221.8,288.9,7.718933887158188,17.307026652821047,0.0,2.3191415714780206,0.0,0.06922810661128419,72.58566978193146,147.97507788161997
turkey and gravy,161,6.3,2.0,2.3,1.1,11.1,0.0,14.1,0.0,43.2,1.3,204.2,0.018,0.067,0.058,0.099,0.3,4.3,0.5,0.2,0.0,0.0,0.0,0.0,33.6,0.035,2.2,19.2,0.045,194.4,146.4,0.003,1.7,67.374,237.0,2.6582278481012658,4.6835443037974684,0.0,5.949367088607595,0.0,0.5485232067510549,86.16033755274262,66.45569620253164
chicken egg roll,158,3.6,0.8,1.1,1.5,22.8,4.5,8.4,1.9,11.2,0.4,43.3,0.085,0.2,0.013,0.019,0.1,2.9,0.5,0.2,9.0,0.0,0.3,0.072,37.6,0.056,1.4,24.0,0.3,94.4,224.8,0.032,0.4,84.75,84.9,4.240282685512367,26.855123674911656,5.300353356890459,9.89399293286219,2.2379269729093045,0.47114252061248524,51.001177856301524,185.1590106007067
vegetable egg roll,153,3.6,0.6,1.0,1.7,25.0,5.3,5.2,2.2,0.0,0.4,42.5,0.0,0.2,0.04,0.014,0.1,1.6,0.3,0.1,10.7,0.0,0.4,0.099,35.9,0.082,1.5,20.3,0.4,64.7,195.0,0.005,0.4,84.1,84.2,4.275534441805226,29.69121140142518,6.294536817102138,6.175771971496437,2.6128266033254155,0.4750593824228029,50.475059382422806,181.9477434679335
ham cheese roll,67,5.2,2.0,2.4,0.6,1.1,0.0,3.8,0.0,16.2,0.3,16.9,0.0,0.2,0.004,0.008,0.033,1.0,0.1,0.019,0.0,0.061,0.037,0.0,16.2,0.078,0.3,4.5,0.0,70.8,82.3,0.018,0.6,26.6,27.3,19.047619047619047,4.029304029304029,0.0,13.919413919413918,0.0,1.0989010989010988,61.9047619047619,243.2234432234432
biscuit with ham,386,18.4,11.4,4.8,1.0,43.8,2.2,13.4,0.8,24.9,1.1,32.1,0.05,0.5,0.003,0.0,0.3,3.5,0.4,0.1,0.1,0.08,1.4,0.089,160.5,0.054,2.7,22.6,0.4,553.7,196.6,0.011,1.6,239.732,111.79999999999998,16.45796064400716,39.17710196779964,1.9677996422182473,11.985688729874779,0.7155635062611808,0.9838998211091237,28.71198568872988,352.7728085867621
lemon chicken,1440,74.9,12.2,16.4,36.7,122.0,55.2,68.6,7.0,203.8,1.5,363.6,0.099,0.3,0.069,0.028,0.4,23.3,3.1,1.5,15.9,0.045,8.1,0.2,248.4,0.2,8.4,95.6,0.6,821.7,987.4,0.001,3.2,545.212,692.8000000000001,10.811200923787528,17.609699769053115,7.967667436489608,9.901847575057735,1.010392609699769,0.2165127020785219,52.48267898383372,207.34699769053114
hummus,435,21.1,2.8,12.0,5.2,49.5,0.7,12.0,9.8,0.0,0.6,159.6,0.0,0.2,0.1,0.0,0.1,1.0,0.7,1.0,19.4,0.0,1.8,0.059,120.5,0.6,3.8,71.3,1.4,270.6,425.6,0.038,2.7,236.1,253.29999999999998,8.33004342676668,19.542045005921832,0.2763521515988946,4.7374654559810505,3.868930122384525,0.23687327279905251,63.00829056454796,172.08843268851166
croissant with egg cheese,368,24.7,14.1,7.5,1.4,24.3,0.0,12.8,0.0,215.9,0.6,57.7,0.0,0.2,0.096,0.043,0.4,1.5,1.1,0.1,0.1,0.0,0.0,0.0,243.8,0.077,2.2,21.6,0.2,348.0,174.0,0.065,1.8,307.9,120.1,20.566194837635305,20.23313905079101,0.0,10.657785179017488,0.0,0.4995836802664446,48.04329725228976,308.6594504579517
enchirito with cheese beef beans,344,16.1,7.9,6.5,0.3,33.8,0.0,17.9,0.0,50.2,1.3,121.0,0.074,0.2,0.028,0.051,0.7,3.0,1.8,0.2,4.6,0.0,0.0,0.0,218.1,0.3,2.4,71.4,0.4,223.9,559.7,0.016,2.8,292.984,190.1,8.469226722777487,17.780115728563914,0.0,9.416096791162545,0.0,0.683850604944766,63.65071015255129,185.00789058390322
sweet sour pork,38,2.2,0.4,0.5,1.0,3.3,1.4,1.2,0.1,3.4,0.003,7.1,0.003,0.073,0.0,0.002,0.053,0.3,0.086,0.003,0.3,0.0,0.1,0.058,6.4,0.024,0.4,1.8,0.054,18.6,21.3,0.053,0.1,13.977,15.302999999999999,14.376266091616024,21.564399137424033,9.148532967392015,7.8415996863360125,0.6534666405280012,0.019603999215840034,46.396131477488076,247.0103901195844
crab cake,160,10.4,2.2,4.3,3.1,5.1,0.0,11.3,0.2,82.2,0.5,32.0,0.062,0.039,0.07,0.019,0.016,1.2,0.3,0.1,0.2,0.0,0.0,0.0,202.2,0.4,1.1,25.2,0.3,226.8,162.0,0.029,2.1,230.596,59.5,17.478991596638657,8.571428571428571,0.0,18.991596638655466,0.33613445378151263,0.8403361344537815,53.78151260504202,267.56302521008405
egg dinner roll,107,2.2,0.6,1.0,0.4,18.2,1.5,3.3,1.3,17.5,0.2,10.6,0.051,0.2,0.096,0.06,0.2,1.2,0.2,0.065,0.0,0.0,0.1,0.082,20.7,0.04,1.2,8.8,0.2,35.4,36.4,0.066,0.4,46.913,37.3,5.898123324396784,48.793565683646115,4.021447721179626,8.847184986595174,3.485254691689008,0.5361930294906168,28.418230563002684,283.6461126005362
english muffin with egg cheese sausage,472,29.9,11.4,11.2,4.6,28.8,2.5,22.1,0.3,269.0,0.8,80.6,0.1,0.6,0.001,0.093,0.4,5.3,1.8,0.1,0.0,0.063,1.6,0.051,277.2,0.3,4.3,28.1,0.3,297.0,242.6,0.064,1.7,362.7,165.0,18.12121212121212,17.454545454545457,1.5151515151515151,13.393939393939394,0.18181818181818182,0.48484848484848486,48.848484848484844,286.4848484848485
buttermilk pancakes,86,3.5,0.7,0.9,1.7,10.9,0.0,2.6,0.0,22.0,0.2,20.0,0.094,0.017,0.009,0.089,0.1,0.6,0.2,0.025,0.2,0.0,0.0,0.0,59.7,0.067,0.6,5.7,0.023,52.8,55.1,0.073,0.2,77.568,37.2,9.408602150537634,29.3010752688172,0.0,6.989247311827956,0.0,0.5376344086021505,53.76344086021505,229.83870967741933
omelet,94,7.1,2.0,3.0,1.7,0.4,0.2,6.4,0.0,190.9,0.013,46.4,0.4,0.1,0.006,0.041,0.055,0.2,0.09,0.8,0.003,0.0,0.098,0.8,0.05,29.3,0.07,0.9,6.7,0.031,101.9,71.4,0.03,14.377,60.513,11.733016046138847,0.6610149885148646,0.3305074942574323,10.576239816237834,0.0,0.021482987126733098,76.6777386677243,150.5461636342604
taco with chicken cheese lettuce,185,6.2,2.5,1.6,1.6,19.3,1.3,13.0,1.2,28.4,0.6,57.3,0.014,0.2,0.029,0.094,0.1,5.1,0.0,0.1,0.2,0.017,0.2,0.075,119.6,0.012,1.6,23.5,0.2,239.1,212.7,0.093,0.7,161.153,98.9,6.268958543983821,19.514661274014156,1.314459049544995,13.144590495449949,1.2133468149646105,0.6066734074823052,57.93731041456015,187.0576339737108
spinach souffle,230,17.6,10.1,5.0,1.0,8.0,2.5,10.7,1.0,160.5,0.8,96.2,0.2,0.1,0.025,0.061,0.4,0.7,0.6,0.1,9.9,0.063,1.3,0.2,224.4,0.093,1.6,40.8,0.4,189.0,314.2,0.01,1.2,273.4,136.8,12.865497076023392,5.847953216374268,1.827485380116959,7.821637426900583,0.7309941520467835,0.5847953216374269,70.32163742690058,170.4678362573099
english muffin with cheese sausage,365,22.3,8.8,8.5,3.4,27.3,2.1,14.3,0.5,46.4,0.7,41.0,0.074,0.5,0.046,0.042,0.2,4.6,0.8,0.096,0.0,0.085,0.6,0.01,226.8,0.3,3.4,22.7,0.3,181.4,193.3,0.036,1.3,294.696,108.2,20.609981515711645,25.231053604436227,1.9408502772643252,13.216266173752311,0.4621072088724584,0.6469500924214417,37.892791127541585,339.279112754159
potato gratin,328,18.6,11.6,5.3,0.7,27.6,0.0,12.4,4.4,56.4,1.1,181.3,0.2,0.2,0.053,0.0,0.3,2.4,0.9,0.4,24.3,0.0,0.0,0.0,291.6,0.4,1.6,49.0,0.4,276.9,970.2,0.036,1.7,380.7,245.4,7.579462102689487,11.246943765281173,0.0,5.052974735126324,1.7929910350448246,0.44824775876120615,73.87938060309699,133.41483292583538
biscuit with egg,436,25.3,8.5,11.7,2.8,35.4,2.5,17.4,0.3,240.7,1.2,62.3,0.1,0.4,0.1,0.002,0.4,3.4,0.9,0.2,0.1,0.027,1.5,0.037,149.4,0.077,2.3,21.8,0.3,526.4,190.0,0.007,1.6,230.3,144.39999999999998,17.5207756232687,24.515235457063714,1.7313019390581719,12.049861495844876,0.20775623268698062,0.8310249307479225,43.144044321329645,303.94736842105266
french fries deep fried,222,10.5,1.7,4.2,3.8,29.4,0.2,2.4,2.7,0.0,0.1,27.4,0.063,0.0,0.1,0.002,0.0,0.008,2.1,0.4,0.3,3.3,0.0,1.2,0.075,12.8,0.038,0.6,24.9,0.2,88.8,411.1,0.019,45.364,72.7,14.442916093535075,40.440165061898206,0.2751031636863824,3.3012379642365883,3.7138927097661623,0.1375515818431912,37.689133425034385,304.9518569463549
sweet sour chicken,46,2.3,0.4,0.5,1.2,4.4,2.1,1.8,0.2,4.9,0.043,9.5,0.031,0.002,0.0,0.057,0.015,0.7,0.1,0.024,0.4,0.0,0.2,0.098,8.2,0.098,0.4,2.7,0.1,24.7,28.9,0.04,0.057,17.773,20.343,11.306100378508576,21.629061593668585,10.322961215160007,8.848252470137147,0.9831391633485721,0.21137492011994297,46.69911025905717,223.6641596618001
burrito with beans beef,460,18.0,7.0,7.8,1.4,47.0,5.3,27.8,7.2,62.7,1.4,144.6,0.096,0.4,0.2,0.088,0.3,5.3,0.8,0.5,4.6,0.059,1.1,0.022,216.9,0.3,4.6,60.3,0.6,392.8,648.3,0.031,4.8,326.183,251.3,7.162753680859531,18.70274572224433,2.1090330282530836,11.062475129327497,2.865101472343812,0.5571030640668523,57.54078790290489,183.5256665340231
nachos with cinnamon sugar,592,36.0,18.2,11.8,4.1,63.4,0.0,7.2,0.0,39.2,0.4,1.1,0.0,0.2,0.059,0.056,0.4,3.9,1.9,0.2,8.0,0.0,0.0,0.0,85.0,0.2,2.9,19.6,0.5,32.7,78.5,0.044,0.6,202.5,108.10000000000001,33.30249768732655,58.649398704902865,0.0,6.66049953746531,0.0,0.3700277520814061,1.0175763182238668,560.9620721554116
arroz con grandules,209,5.7,0.9,1.2,2.7,35.4,0.0,4.0,1.6,0.0,0.7,67.7,0.0,0.01,0.0,0.0,0.076,0.6,0.3,0.026,0.0,0.0,0.8,0.066,9.2,0.1,0.3,16.1,0.7,62.1,96.6,0.0,0.9,56.2,115.10000000000001,4.9522154648132055,30.755864465682016,0.0,3.4752389226759335,1.3900955690703736,0.6081668114682884,58.81841876629018,181.49435273675064
chili con carne,271,8.8,3.2,3.6,1.0,33.1,4.7,14.7,8.3,22.8,1.1,191.5,0.4,0.095,0.049,0.005,0.091,0.029,2.0,3.6,0.3,0.5,0.0,1.3,0.063,83.5,0.6,3.4,70.8,0.4,220.1,667.9,0.039,66.245,262.2,3.3562166285278416,12.623951182303585,1.792524790236461,5.606407322654462,3.1655225019069415,0.4195270785659802,73.03585049580474,103.12738367658277
arroz con abichuelas,223,5.4,0.8,1.1,2.5,37.3,0.2,6.2,4.1,0.0,0.6,105.6,0.0,0.045,0.0,0.0,0.072,1.3,0.3,0.069,0.0,0.0,0.4,0.046,23.6,0.2,1.9,33.0,0.7,117.8,304.6,0.071,1.1,78.5,159.4,3.3877038895859477,23.400250941028855,0.12547051442910917,3.889585947302384,2.5721455457967375,0.37641154328732745,66.24843161856963,139.64868255959848
biscuit with sausage,412,27.1,8.2,13.5,3.4,33.3,1.8,10.7,0.4,31.1,0.9,36.4,0.0,0.4,0.078,0.012,0.2,3.8,0.5,0.031,0.0,0.044,0.9,0.035,52.2,0.3,2.1,14.4,0.2,378.5,169.8,0.012,0.8,125.8,110.6,24.502712477396024,30.10849909584087,1.62748643761302,9.674502712477395,0.36166365280289337,0.81374321880651,32.91139240506329,379.65641952983725
vegetarian stew,304,7.4,1.2,1.8,3.8,17.3,3.1,42.0,2.7,0.0,1.0,172.9,0.0,1.7,0.3,0.093,1.5,29.6,0.0,2.7,0.0,0.0,1.2,0.041,76.6,1.6,3.2,313.7,0.0,543.4,296.4,0.05,2.7,149.2,246.40000000000003,3.003246753246753,7.021103896103896,1.258116883116883,17.045454545454543,1.0957792207792205,0.4058441558441558,70.17045454545455,123.29545454545453
chicken sandwich with cheese,632,38.8,12.4,13.7,9.9,41.6,0.0,29.4,0.0,77.5,1.2,104.9,0.2,0.4,0.1,0.092,0.5,9.1,1.3,0.4,3.0,0.0,0.0,0.0,257.6,0.2,3.6,43.3,0.4,405.8,332.9,0.073,2.9,374.2,215.90000000000003,17.97128300138953,19.268179712830012,0.0,13.617415470125055,0.0,0.5558128763316349,48.587308939323755,293.28392774432604
biscuit with egg steak,410,28.4,8.6,11.7,5.8,21.3,0.0,17.9,0.0,272.3,0.9,77.7,0.2,0.4,0.018,0.063,0.5,3.1,1.1,0.2,0.1,0.0,0.0,0.0,137.6,0.1,5.3,25.2,0.2,225.0,306.4,0.039,2.8,210.8,146.2,19.425444596443228,14.569083447332423,0.0,12.243502051983585,0.0,0.6155950752393982,53.146374829001374,282.0793433652531
taco salad,212,11.2,5.2,3.9,1.3,17.9,0.0,10.0,0.0,33.0,0.6,108.5,0.0,0.091,0.072,0.097,0.3,1.9,1.0,0.2,2.7,0.0,0.0,0.0,145.5,0.2,1.7,39.0,0.3,108.0,315.0,0.001,2.0,189.0,148.2,7.557354925775979,12.078272604588394,0.0,6.747638326585695,0.0,0.4048582995951417,73.2118758434548,143.31983805668017
succotash,213,1.5,0.3,0.3,0.7,46.8,0.0,9.7,0.0,0.0,0.5,131.3,0.0,0.3,0.053,0.0,0.2,2.5,1.1,0.2,15.7,0.0,0.0,0.0,32.6,0.3,2.9,101.8,1.5,224.6,787.2,0.038,1.2,109.2,189.8,0.7903055848261327,24.657534246575338,0.0,5.110642781875658,0.0,0.26343519494204426,69.17808219178082,126.18545837723917
nachos with cheese jalapeno peppers,608,34.1,14.0,14.4,4.0,60.1,0.0,16.8,0.0,83.6,1.7,87.1,0.4,0.1,0.044,0.05,0.5,2.8,2.4,0.4,1.0,0.0,0.0,0.0,620.2,0.2,2.4,108.1,0.4,393.7,293.8,0.083,2.9,735.0,199.8,17.067067067067065,30.08008008008008,0.0,8.408408408408407,0.0,0.8508508508508508,43.59359359359359,307.5575575575575
biscuit with egg ham,442,27.0,5.9,11.0,7.7,31.4,4.2,20.4,0.8,299.5,1.4,108.7,0.1,0.7,0.058,0.062,0.6,2.0,1.7,0.3,0.0,0.093,2.1,0.057,220.8,0.1,4.6,30.7,0.3,316.8,318.7,0.005,2.2,305.1,193.9,13.924703455389375,16.193914388860236,2.166064981949458,10.520887055183083,0.4125838060856112,0.7220216606498194,56.059824651882415,232.18153687467765
ladyfingers,103,2.6,0.9,1.1,0.4,16.9,7.2,3.0,0.3,62.5,0.016,5.5,0.0,0.096,0.078,0.05,0.1,0.6,0.3,0.077,1.0,0.033,0.2,0.002,13.3,0.063,1.0,3.4,0.063,49.0,32.0,0.037,0.3,38.1,35.516,7.320644216691069,47.58418740849194,20.27255321545219,8.446897173105079,0.8446897173105079,0.045050118256560426,15.485978150692647,290.0101362766077
mozzarella steak fried,102,5.9,2.2,1.5,1.6,7.7,0.7,4.6,0.6,10.2,0.2,11.8,0.023,0.025,0.097,0.045,0.088,0.3,0.1,0.018,0.0,0.096,0.3,0.071,107.9,0.02,0.2,6.8,0.052,99.8,35.7,0.094,0.6,126.963,31.5,18.73015873015873,24.444444444444443,2.222222222222222,14.603174603174601,1.9047619047619047,0.6349206349206349,37.46031746031746,324.7619047619048
tamale navajo,285,11.4,4.5,5.1,1.3,33.7,1.8,11.7,5.8,31.6,0.8,126.7,0.0,0.057,0.069,0.032,0.1,3.0,0.4,0.3,3.2,0.0,0.0,0.0,53.9,0.1,2.3,40.9,0.3,184.1,243.7,0.053,2.8,122.0,191.89999999999998,5.940594059405941,17.56122980719125,0.937988535695675,6.096925482021886,3.0224075039082856,0.4168837936425222,66.02397081813446,148.09796769150603
blueberry pancakes,84,3.5,0.8,0.9,1.6,11.0,0.0,2.3,0.0,21.3,0.2,20.2,0.023,0.016,0.093,0.044,0.1,0.6,0.2,0.054,0.8,0.0,0.0,0.0,78.3,0.031,0.7,6.1,0.089,57.4,52.4,0.01,0.2,96.631,37.2,9.408602150537634,29.569892473118276,0.0,6.18279569892473,0.0,0.5376344086021505,54.3010752688172,227.68817204301072
chimichanga with beef cheese,443,23.4,11.2,9.4,0.7,39.3,0.0,20.1,0.0,51.2,1.0,96.4,0.1,0.4,0.052,0.012,0.9,4.7,1.8,0.2,2.7,0.0,0.0,0.0,237.9,0.4,3.8,60.4,0.5,186.7,203.1,0.085,3.4,327.3,180.2,12.985571587125417,21.80910099889012,0.0,11.154273029966705,0.0,0.5549389567147615,53.496115427303,248.72364039955605
egg cheese sandwich,340,19.4,6.6,8.3,2.6,25.9,0.0,15.6,0.0,290.5,0.8,82.2,0.2,0.3,0.021,0.028,0.6,2.1,0.9,0.1,1.5,0.0,0.0,0.0,224.8,0.1,3.0,21.9,0.2,302.2,188.3,0.067,1.6,290.4,143.9,13.481584433634467,17.998610145934677,0.0,10.8408617095205,0.0,0.5559416261292565,57.12300208478109,236.69214732453088
biscuit with egg bacon,458,31.1,8.0,13.4,7.5,28.6,3.3,17.0,0.8,352.5,1.3,70.0,0.082,0.1,0.038,0.04,0.2,2.4,1.2,0.1,2.7,0.066,2.0,0.098,189.0,0.1,3.7,24.0,0.3,238.5,250.5,0.059,1.6,272.958,152.1,20.44707429322814,18.803418803418808,2.1696252465483234,11.176857330703486,0.5259697567389875,0.8547008547008548,46.022353714661406,303.9447731755424
pupusas con queso,300,15.5,7.6,4.0,1.8,26.2,1.4,13.7,3.4,37.4,0.5,58.9,0.1,0.099,0.0,0.066,0.1,0.6,0.4,0.2,0.0,0.0,0.5,0.073,380.3,0.081,0.7,42.1,0.1,317.1,140.4,0.07,2.2,439.9,119.6,12.959866220735785,21.906354515050168,1.1705685618729096,11.454849498327759,2.8428093645484953,0.4180602006688963,49.247491638795985,250.0836120401338
apple croissant,145,5.0,2.8,1.4,0.4,21.1,0.0,4.2,1.4,17.7,0.2,26.0,0.031,0.1,0.022,0.035,0.022,0.9,0.3,0.038,0.3,0.0,0.0,0.0,17.1,0.006,0.6,7.4,0.1,33.1,51.3,0.024,0.6,49.733,57.9,8.635578583765112,36.44214162348878,0.0,7.253886010362695,2.4179620034542313,0.34542314335060453,44.90500863557859,252.50431778929192
refried red beans,336,16.1,2.2,3.9,10.2,36.0,0.0,11.7,11.0,0.0,0.9,164.8,0.0,0.053,0.094,0.0,0.092,1.5,0.4,0.2,0.0,0.0,2.4,0.0,76.9,0.5,4.5,83.9,0.7,212.0,722.3,0.058,1.6,156.2,240.5,6.6943866943866945,14.96881496881497,0.0,4.864864864864864,4.5738045738045745,0.37422037422037424,68.52390852390853,139.58419958419958
tostada with guacamole,180,11.6,4.9,4.2,1.5,16.0,0.0,6.2,0.0,19.6,0.4,94.6,0.016,0.092,0.004,0.047,0.3,1.0,1.0,0.1,1.8,0.0,0.0,0.0,211.4,0.1,0.8,36.5,0.2,116.1,324.9,0.096,2.0,247.853,128.8,9.006211180124222,12.422360248447204,0.0,4.813664596273291,0.0,0.3105590062111801,73.44720496894409,149.99999999999997
chicken sandwich,468,20.9,4.0,8.4,5.9,39.1,6.8,30.4,2.6,65.5,1.4,91.5,0.077,0.03,0.4,0.1,0.053,0.6,14.4,0.6,0.7,1.5,0.031,4.5,0.012,108.5,0.2,3.3,44.9,0.5,346.0,458.2,0.064,94.051,192.7,10.84587441619097,20.290607161390763,3.5288012454592637,15.775817332641411,1.349247535028542,0.7265179034769071,47.483134405812145,241.87856772184742
fried rice,228,3.2,0.7,0.8,1.3,43.4,0.6,6.5,1.5,32.2,0.6,85.4,0.076,0.052,0.076,0.0,0.088,0.9,0.0,0.066,0.0,0.059,0.2,0.081,19.6,0.1,1.0,14.0,0.6,77.0,123.2,0.062,1.1,75.203,141.20000000000002,2.2662889518413594,30.736543909348434,0.4249291784702549,4.603399433427762,1.0623229461756372,0.4249291784702549,60.48158640226629,161.756373937677
pupusas del cerdo,283,12.7,3.9,4.8,2.7,28.1,1.8,14.0,3.2,35.4,0.5,64.8,0.064,0.1,0.0,0.057,0.1,2.9,0.8,0.3,0.0,0.0,0.4,0.016,59.8,0.06,1.2,46.4,0.2,197.6,311.1,0.091,2.0,119.087,125.1,10.151878497202238,22.46203037569944,1.4388489208633095,11.191047162270184,2.557953637090328,0.3996802557953637,51.798561151079134,225.97921662669864
turkey pot pie,699,34.9,11.4,13.7,5.5,70.3,0.0,25.8,4.4,63.5,1.4,260.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,139.4,397.6,8.777665995975854,17.681086519114686,0.0,6.4889336016096575,1.1066398390342052,0.352112676056338,65.59356136820925,175.67907444668006
cheese croissant,331,16.7,8.5,5.2,1.9,37.6,9.1,7.4,2.1,45.6,0.3,16.8,0.2,0.4,0.025,0.068,0.3,1.7,0.7,0.064,0.2,0.0,1.2,0.022,42.4,0.018,1.7,19.2,0.3,104.0,105.6,0.027,0.8,108.3,89.99999999999999,18.555555555555557,41.777777777777786,10.111111111111112,8.222222222222223,2.333333333333334,0.33333333333333337,18.66666666666667,367.00000000000006
chimichanga with beef,425,19.7,8.5,8.1,1.1,42.8,0.0,19.6,0.0,8.7,0.9,88.2,0.0,0.5,0.068,0.042,0.6,5.8,2.1,0.3,4.7,0.0,0.0,0.0,62.6,0.4,4.5,62.6,0.6,123.5,586.4,0.029,5.0,153.9,171.2,11.507009345794392,25.0,0.0,11.448598130841123,0.0,0.5257009345794393,51.518691588785046,249.357476635514
french toast with butter,178,9.4,3.9,3.5,1.2,18.0,0.0,5.2,0.0,58.1,0.3,34.2,0.088,0.3,0.083,0.084,0.2,2.0,0.3,0.004,0.004,0.0,0.0,0.0,36.5,0.072,0.9,8.1,0.1,72.9,88.4,0.065,0.3,70.093,67.1,14.00894187779434,26.825633383010434,0.0,7.7496274217585706,0.0,0.44709388971684055,50.96870342771983,264.3815201192251
