food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_grams,Fat_per_100g,Carbohydrates_per_100g,Sugars_per_100g,Protein_per_100g,Dietary Fiber_per_100g,Sodium_per_100g,Water_per_100g,Calories_100g_494
turnip greens cooked,29,0.3,0.091,0.065,0.1,6.3,0.8,1.6,5.0,0.0,0.4,134.2,0.0,0.077,0.2,0.0,0.1,0.6,0.4,0.3,39.5,0.0,2.7,0.5,197.3,0.4,1.2,31.7,0.5,41.8,292.3,0.013,0.2,251.2,148.6,0.2018842530282638,4.23956931359354,0.5383580080753703,1.0767160161507405,3.3647375504710633,0.26917900403768513,90.30955585464334,23.082099596231497
jerusalem artichokes,110,0.047,0.0,0.065,0.036,26.2,14.4,3.0,2.4,0.0,0.011,117.0,0.0,0.3,0.052,0.0,0.049,2.0,0.6,0.1,6.0,0.0,0.3,0.014,21.0,0.2,5.1,25.5,0.014,117.0,643.5,0.083,0.2,63.742,163.058,0.028824099400213424,16.067902218842374,8.831213433256877,1.8398361319285164,1.471868905542813,0.0067460658170712265,71.75360914521214,71.8903702976855
chrysanthemum cooked,20,0.036,0.0,0.0,0.0,4.3,2.0,1.6,2.3,0.0,0.042,92.5,0.0,0.0,0.086,0.092,0.0,0.2,0.7,0.061,0.1,23.9,0.0,2.5,0.1,69.0,0.1,3.7,18.0,0.4,43.0,569.0,0.001,8.597,102.778,0.035026951293078284,4.18377473778435,1.945941738504349,1.5567533908034792,2.237832999280001,0.040864776508591334,89.99980540582615,23.277355075989018
oriental radish dried,314,0.8,0.3,0.1,0.4,73.5,43.3,9.2,27.7,0.0,0.3,22.8,0.0,0.3,0.3,0.0,0.8,3.9,2.2,0.7,0.0,0.0,0.008,0.031,729.6,1.9,7.8,197.2,0.6,236.6,4053.0,0.091,2.5,848.6,177.60000000000002,0.45045045045045046,41.38513513513513,24.380630630630627,5.180180180180179,15.596846846846846,0.1689189189189189,12.837837837837837,190.3153153153153
tomatillos,42,1.3,0.2,0.2,0.6,7.7,5.2,1.3,2.5,0.0,0.019,121.0,0.0,0.088,0.093,0.0,0.099,2.4,0.2,0.074,15.4,0.0,0.5,0.033,9.2,0.1,0.8,26.4,0.2,51.5,353.8,0.055,0.3,38.2,139.019,0.9351239758594149,5.538811241628841,3.7404959034376595,0.9351239758594149,1.7983153381911823,0.013667196570252987,87.03846236845322,34.31185665268776
leeks dried,10,0.026,0.08,0.055,0.031,2.4,0.0,0.5,0.3,0.0,0.077,0.018,0.0,0.056,0.089,0.0,0.008,0.1,0.076,0.023,3.8,0.0,0.0,0.0,11.5,0.047,0.2,5.2,0.014,11.1,76.8,0.092,0.096,18.709,3.3209999999999993,0.7828967178560676,72.26738934056009,0.0,15.055706112616685,9.03342366757001,2.3185787413429697,0.5420054200542006,356.3384522734117
sweet red peppers cooked,19,0.1,0.012,0.094,0.087,4.5,3.2,0.7,0.9,0.0,0.2,67.1,0.0,0.041,0.055,0.0,0.049,0.3,0.066,0.2,124.8,0.0,1.2,0.016,6.6,0.069,0.3,7.3,0.023,13.1,121.2,0.059,0.055,137.9,76.69999999999999,0.1303780964797914,5.867014341590614,4.172099087353325,0.9126466753585398,1.1734028683181228,0.2607561929595828,87.48370273794002,28.292046936114737
cucumber peeled,16,0.2,0.1,0.068,0.087,2.9,1.8,0.8,0.9,0.0,0.098,128.7,0.0,0.0,0.049,0.066,0.0,0.095,0.048,0.3,0.082,4.3,0.0,0.006,0.052,18.6,0.018,0.3,16.0,0.058,27.9,180.9,0.027,4.903,135.398,0.14771266931564722,2.141833705076884,1.329414023840825,0.5908506772625889,0.6647070119204125,0.07237920796466714,95.05310270461898,12.260151553198716
peas onions cooked,81,0.4,0.055,0.049,0.2,15.5,6.8,4.6,4.0,0.0,0.5,158.7,0.0,0.3,0.078,0.0,0.1,1.9,0.2,0.2,12.4,0.0,0.019,0.053,25.2,0.1,1.7,23.4,0.3,61.2,210.6,0.042,0.5,63.8,190.5,0.2099737532808399,8.136482939632545,3.5695538057742784,2.4146981627296586,2.099737532808399,0.26246719160104987,83.30708661417322,44.09448818897637
tomato cooked,22,0.1,0.086,0.069,0.041,4.9,3.1,1.2,0.9,0.0,0.029,116.0,0.0,0.0,0.054,0.052,0.0,0.074,0.7,0.2,0.096,28.0,0.0,0.7,0.054,13.5,0.052,0.8,11.1,0.1,34.4,268.1,0.0,7.36,126.229,0.07922109816286274,3.8818338099802743,2.455854043048745,0.9506531779543528,0.7129898834657646,0.022974118467230194,91.89647386892076,20.04293783520427
taro shoots cooked,20,0.1,0.068,0.003,0.037,4.5,0.0,1.0,0.0,0.0,0.3,133.4,0.0,0.024,0.014,0.0,0.035,1.1,0.1,0.2,26.5,0.0,0.0,0.0,19.6,0.1,0.6,11.2,0.2,36.4,481.6,0.083,0.8,52.3,139.3,0.07178750897343862,3.230437903804738,0.0,0.7178750897343862,0.0,0.21536252692031582,95.76453697056712,16.439339554917446
